date,daily_rain
2020-01-09,0.01
2020-01-10,2
2020-01-11,0.03
2020-01-12,19.93
2020-01-13,0.83
2020-01-14,4.65
2020-01-15,3.47
2020-01-16,2.75
2020-01-17,1.99
2020-01-18,3.35
2020-01-19,17.08
2020-01-20,7.51
2020-01-21,3.69
2020-01-22,0.28
2020-01-23,2.63
2020-01-24,0.1
2020-01-25,0.27
2020-01-26,2.35
2020-01-27,0.02
2020-01-28,0.05
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,7.67
2020-02-03,0.77
2020-02-04,0.01
2020-02-05,0
2020-02-06,0.09
2020-02-07,0.01
2020-02-08,1.97
2020-02-09,6.94
2020-02-10,0.02
2020-02-11,0.93
2020-02-12,0.16
2020-02-13,4.88
2020-02-14,10.43
2020-02-15,0.85
2020-02-16,3.77
2020-02-17,0.63
2020-02-18,0.01
2020-02-19,0.01
2020-02-20,0.02
2020-02-21,0.05
2020-02-22,0.27
2020-02-23,0.41
2020-02-24,0.02
2020-02-25,0
2020-02-26,1.12
2020-02-27,7.66
2020-02-28,0
2020-02-29,0
2020-03-01,0.06
2020-03-02,0.01
2020-03-03,3.6
2020-03-04,0.01
2020-03-05,0.01
2020-03-06,0
2020-03-07,0.02
2020-03-08,0.04
2020-03-09,1.53
2020-03-10,0.01
2020-03-11,8.12
2020-03-12,1.62
2020-03-13,0
2020-03-14,5.59
2020-03-15,0.25
2020-03-16,1.12
2020-03-17,5.33
2020-03-18,6.9
2020-03-19,0.49
2020-03-20,1.15
2020-03-21,1.27
2020-03-22,3.82
2020-03-23,0.03
2020-03-24,4.69
2020-03-25,1.88
2020-03-26,1.39
2020-03-27,3.08
2020-03-28,4.72
2020-03-29,2.64
2020-03-30,11.53
2020-03-31,0.56
2020-04-01,3.44
2020-04-02,0.01
2020-04-03,0.06
2020-04-04,1.29
2020-04-05,4.9
2020-04-06,0.07
2020-04-07,0.68
2020-04-08,0.49
2020-04-09,5.54
2020-04-10,0.03
2020-04-11,0.41
2020-04-12,0.02
2020-04-13,0.92
2020-04-14,0.14
2020-04-15,3.13
2020-04-16,0
2020-04-17,0
2020-04-18,1.39
2020-04-19,0.15
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0.02
2020-04-28,0.04
2020-04-29,0.13
2020-04-30,0.46
2020-05-01,0
2020-05-02,0
2020-05-03,0.01
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0.06
2020-05-13,5.6
2020-05-14,0
2020-05-15,0
2020-05-16,0.02
2020-05-17,0.18
2020-05-18,1.32
2020-05-19,0.02
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,2.45
2020-05-29,12.9
2020-05-30,2.5
2020-05-31,8.29
2020-06-01,0.77
2020-06-02,0.01
2020-06-03,0.05
2020-06-04,0.01
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0.09
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0.5
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,1.3
2020-07-05,2.72
2020-07-06,1.81
2020-07-07,3.92
2020-07-08,0.44
2020-07-09,0
2020-07-10,0.98
2020-07-11,3.83
2020-07-12,0.22
2020-07-13,0.01
2020-07-14,0
2020-07-15,0
2020-07-16,0.01
